100,540
500,10130
1000,48940
2000,156430
3000,257200
4000,317450
5000,378120
6000,513580
7000,698410
8000,913900
9000,1.16263e+06
10000,1.44984e+06
20000,8.05078e+06
30000,2.01898e+07
40000,3.72892e+07
50000,5.95407e+07
60000,8.79539e+07
70000,1.20238e+08
80000,1.57742e+08
90000,2.00382e+08
100000,2.49435e+08
